Symbol,Last,Bars,Close,High,Low,RSI14,MA10,MA20,MA50,ATR14_pct,TrendScore,MomentumScore,ExplosivenessScore,BreakoutScore,VolumeScore,VolatilityScore,OscillatorScore,TrendQualityScore,RiskScore,TechRating,SwingLow10,SwingHigh10,RecentLow5,RecentHigh5,AvgVol20,AvgDollarVol20,Signal,TradeType,Sector,Industry,EntryPrice,StopPrice,TargetPrice,RewardRisk,PositionSize
ACGL,93.92,90,93.92,94.94,93.9,,92.55,90.7575,89.8468,0.01576410014602089,3,2,1,1,-1,0,1,3,0.21179499269895552,5.3,90.86,94.94,91.23,94.94,2071177.6,194525000.192,Avoid,Avoid,,"FIRE, MARINE & CASUALTY INSURANCE",,,,,0
AB,41.31,90,41.31,41.51,40.8,,39.846,39.7205,39.209,0.016826434277414693,3,2,2,3,-1,-1,2,2,0.15867828612926538,4.9,38.51,41.51,38.68,41.51,175818.65,7263068.4315,Avoid,Avoid,,INVESTMENT ADVICE,,,,,0
ACP,5.47,90,5.47,5.48,5.39,,5.361,5.4395,5.5948,0.01406764168190127,0,2,1,0,0,0,2,2,0.29661791590493647,4.2,5.13,5.5,5.13,5.48,680030.9,3719769.023,Avoid,Avoid,,,,,,,0
ACT,38.71,90,38.71,38.91,38.42,,38.115,37.459,36.9988,0.01753422888142597,3,2,2,1,0,0,1,3,0.12328855592870158,3.6,36.77,39.28,37.81,39.28,272760.45,10558557.0195,Avoid,Avoid,,"INSURANCE AGENTS, BROKERS & SERVICE",,,,,0
AAT,19.5,90,19.5,19.52,19.34,,19.108,19.121,19.6148,0.01893736263736263,1,2,1,1,-1,2,2,0,0.05313186813186843,0.9,18.52,19.68,18.56,19.68,404052.1,7879015.949999999,Avoid,Avoid,,REAL ESTATE INVESTMENT TRUSTS,,,,,0
AA,41.74,90,41.74,42.17,41.48,,38.004,37.677,36.434200000000004,0.04697446779382574,3,2,2,3,-1,0,2,2,0.0,0.0,35.12,42.17,35.12,42.17,5621913.4,234658665.316,Avoid,Avoid,,PRIMARY PRODUCTION OF ALUMINUM,,,,,0
AAON,93.48,90,93.48,94.16,92.07,,92.33500000000001,95.6745,97.57610000000001,0.047785164129836785,-1,-1,1,0,-1,0,0,0,0.0,-0.0,86.325,96.53,86.325,95.2024,1118998.35,104603965.75800002,Avoid,Avoid,,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,,,,,0
A,153.5,90,153.5,154.56,153.22,,149.456,148.344,141.8368,0.02869302000930665,3,2,3,0,0,0,1,0,0.0,0.0,140.24,160.27,144.47,160.27,1965561.65,301713713.275,Avoid,Avoid,,LABORATORY ANALYTICAL INSTRUMENTS,,,,,0
AAOI,26.78,90,26.78,27.29,25.56,,22.2475,25.18875,28.4877,0.09073535687613361,0,1,1,0,-1,0,2,2,0.0,0.0,18.5,27.29,18.5,27.29,5725647.85,153332849.423,Avoid,Avoid,,SEMICONDUCTORS & RELATED DEVICES,,,,,0
AAL,14.05,90,14.05,14.09,13.87,,12.943999999999999,13.0805,12.4754,0.03746059989832232,2,2,2,3,0,0,2,0,0.0,0.0,12.11,14.106,12.32,14.106,52717862.3,740685965.3149999,Avoid,Avoid,,"AIR TRANSPORTATION, SCHEDULED",,,,,0
AARD,9.98,90,9.98,10.44,9.805,,9.79,10.119,12.069600000000001,0.08459275694245633,-1,1,1,0,0,2,2,-1,0.0,0.0,8.82,11.23,8.82,10.44,150065.35,1497652.1930000002,Avoid,Avoid,,PHARMACEUTICAL PREPARATIONS,,,,,0
AAUC,21.11,90,21.11,21.5099,19.97,,17.355,16.538999999999998,17.325,0.04888813696961495,3,2,3,3,3,0,2,0,0.0,0.0,15.62,21.5099,15.62,21.5099,564489.65,11916376.511500001,Avoid,Avoid,,,,,,,0
ABAT,3.74,90,3.74,3.82,3.6,,3.595999999999999,3.88525,4.9737,0.11058441558441559,0,1,1,0,-1,2,2,1,0.0,0.0,3.23,4.25,3.23,3.82,7820310.95,29247962.953,Avoid,Avoid,,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),,,,,0
ABBV,227.7,90,227.7,228.09,225.51,,231.554,226.28999999999996,227.53959999999998,0.027507058159232087,0,-1,1,0,-1,0,-1,1,0.0,-0.0,225.51,238.15,225.51,238.01,6524481.15,1485624357.855,Avoid,Avoid,,PHARMACEUTICAL PREPARATIONS,,,,,0
ABCB,75.76,90,75.76,76.44,75.64,,73.508,73.31750000000001,73.41900000000001,0.026535865138029864,2,2,3,1,-1,0,2,1,0.0,0.0,69.58,77.15,72.115,77.15,429986.8,32575799.968000002,Avoid,Avoid,,STATE COMMERCIAL BANKS,,,,,0
AAP,51.88,90,51.88,53.12,50.9,,50.419,49.573499999999996,53.8502,0.04477709549509858,2,2,3,2,2,2,2,1,0.0,0.0,48.08,53.22,48.66,53.22,1595573.45,82778350.586,Avoid,Avoid,,RETAIL-AUTO & HOME SUPPLY STORES,,,,,0
AAPL,278.85,90,278.85,279.0,275.9865,,272.29,271.592,262.63939999999997,0.020709418786341867,3,2,2,3,-1,2,2,2,0.0,0.0,265.32,280.38,265.67,280.38,48149280.95,13426426992.907501,Avoid,Avoid,,ELECTRONIC COMPUTERS,,,,,0
AAMI,44.84,90,44.84,45.48,44.81,,43.594,44.1085,45.99980000000001,0.03429654645087295,-1,1,1,0,-1,2,2,1,0.0,0.0,41.47,45.885,42.16,45.885,226346.15,10149361.366,Avoid,Avoid,,INVESTMENT ADVICE,,,,,0
ABEV,2.54,90,2.54,2.56,2.53,,2.508,2.47,2.3198000000000003,0.020793025871766024,3,0,1,1,-1,2,0,2,0.0,0.0,2.42,2.5899,2.43,2.56,32336964.9,82135890.846,Avoid,Avoid,,,,,,,0
ABEO,5.07,90,5.07,5.15,5.04,,4.603,4.54,5.052,0.06903353057199212,0,2,2,0,-1,2,2,1,0.0,0.0,4.16,5.17,4.19,5.17,2749985.85,13942428.2595,Avoid,Avoid,,PHARMACEUTICAL PREPARATIONS,,,,,0
ABCL,3.73,90,3.73,3.755,3.635,,3.604,4.0295000000000005,4.9092,0.06673496744542322,0,1,1,0,0,0,2,2,0.0,0.0,3.33,3.83,3.33,3.78,5232049.95,19515546.313500002,Avoid,Avoid,,PHARMACEUTICAL PREPARATIONS,,,,,0
ABG,232.57,90,232.57,235.505,231.67,,223.698,225.635,236.136,0.03404093391237048,0,2,1,0,-1,0,2,1,0.0,0.0,210.67,241.97,212.74,241.97,170337.65,39615427.2605,Avoid,Avoid,,RETAIL-AUTO DEALERS & GASOLINE STATIONS,,,,,0
