symbol,Name,Sector,Industry,MarketCap,SicCode,SicDescription,SubIndustry,market_cap_cache
NVDA,Nvidia Corp,Information Technology,SEMICONDUCTORS & RELATED DEVICES,4381219300000.0,3674.0,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,4509792750000.0
AAPL,Apple Inc.,Information Technology,ELECTRONIC COMPUTERS,4101176775150.0,3571.0,ELECTRONIC COMPUTERS,Other,4106200735170.0
GOOG,Alphabet Inc. Class C Capital Stock,Information Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",3864818760000.0,7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",Software,3794468150000.0
GOOGL,Alphabet Inc. Class A Common Stock,Information Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",3860836650000.0,7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",Software,3785659240000.0005
MSFT,Microsoft Corp,Information Technology,SERVICES-PREPACKAGED SOFTWARE,3608419351502.5,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software,3649446076158.1
AMZN,Amazon.Com Inc,Consumer Discretionary,RETAIL-CATALOG & MAIL-ORDER HOUSES,2449769901080.76,5961.0,RETAIL-CATALOG & MAIL-ORDER HOUSES,Internet & Direct Marketing Retail,2425503110735.79
AVGO,Broadcom Inc. Common Stock,Information Technology,SEMICONDUCTORS & RELATED DEVICES,1877470661796.54,3674.0,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,1894140610324.2002
META,"Meta Platforms, Inc. Class A Common Stock",Information Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",1597031490735.17,7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",Software,1680687801679.5999
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Industrials,,1503878961963.8398,,,Other,1565650235370.48
TSLA,"Tesla, Inc. Common Stock",Consumer Discretionary,MOTOR VEHICLES & PASSENGER CAR BODIES,1418727940258.86,3711.0,MOTOR VEHICLES & PASSENGER CAR BODIES,Other,1461963589429.8599
WMT,Walmart Inc.,Consumer Discretionary,RETAIL-VARIETY STORES,869838057410.2,5331.0,RETAIL-VARIETY STORES,Other,905092160431.84
LLY,Eli Lilly & Co.,Health Care,PHARMACEUTICAL PREPARATIONS,988405014105.38,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals,892861761795.63
JPM,JPMorgan Chase & Co.,Financials,NATIONAL COMMERCIAL BANKS,837476772433.7999,6021.0,NATIONAL COMMERCIAL BANKS,Banks,858084298006.95
V,VISA Inc.,Industrials,"SERVICES-BUSINESS SERVICES, NEC",644180373703.98,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other,630767588428.08
ORCL,Oracle Corp,Information Technology,SERVICES-PREPACKAGED SOFTWARE,584298452320.8,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software,628713801106.7
XOM,Exxon Mobil Corporation,Energy,PETROLEUM REFINING,484004097518.78,2911.0,PETROLEUM REFINING,Other,489106867911.72003
JNJ,Johnson & Johnson,Health Care,PHARMACEUTICAL PREPARATIONS,500073291371.12,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals,485762078465.24
MA,Mastercard Incorporated,Industrials,"SERVICES-BUSINESS SERVICES, NEC",489344877450.64,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other,485312876093.12006
ASML,ASML Holding NV,Industrials,,404050084203.78,,,Other,434605069101.06
NFLX,NetFlix Inc,Industrials,SERVICES-VIDEO TAPE RENTAL,449749499307.6,7841.0,SERVICES-VIDEO TAPE RENTAL,Other,410572497287.7
ABBV,ABBVIE INC.,Health Care,PHARMACEUTICAL PREPARATIONS,402362785321.12,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals,394338859091.84
COST,Costco Wholesale Corp,Consumer Discretionary,RETAIL-VARIETY STORES,402521918393.76,5331.0,RETAIL-VARIETY STORES,Other,394021321928.64
BAC,Bank of America Corporation,Financials,NATIONAL COMMERCIAL BANKS,386959239194.5,6021.0,NATIONAL COMMERCIAL BANKS,Banks,393604510145.0
BABA,"Alibaba Group Holding Limited American Depositary Shares, each represents eight Ordinary Shares",Industrials,,376033011521.6,,,Other,377303914742.58
AMD,Advanced Micro Devices,Information Technology,SEMICONDUCTORS & RELATED DEVICES,348791619529.60004,3674.0,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,359976264909.4
HD,"Home Depot, Inc.",Consumer Discretionary,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,353874467572.95,5211.0,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,Other,348339423716.35004
PG,Procter & Gamble Company,Consumer Staples,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",346420748639.25,2840.0,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",Other,323263719168.66003
CSCO,"Cisco Systems, Inc. Common Stock (DE)",Information Technology,COMPUTER COMMUNICATIONS EQUIPMENT,300559763407.41,3576.0,COMPUTER COMMUNICATIONS EQUIPMENT,Other,311583317238.18
GE,GE Aerospace,Information Technology,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),312878902280.82,3600.0,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),Other,302932007100.09
KO,Coca-Cola Company,Consumer Staples,BEVERAGES,313501252623.6,2080.0,BEVERAGES,Other,302188021361.25
CVX,Chevron Corporation,Energy,PETROLEUM REFINING,298923356287.47,2911.0,PETROLEUM REFINING,Other,297323873409.87
UNH,UNITEDHEALTH GROUP INCORPORATED (Delaware),Health Care,HOSPITAL & MEDICAL SERVICE PLANS,298664051400.19995,6324.0,HOSPITAL & MEDICAL SERVICE PLANS,Health Care Providers & Services,293147494204.4
IBM,International Business Machines Corporation,Information Technology,COMPUTER & OFFICE EQUIPMENT,283421061811.26,3570.0,COMPUTER & OFFICE EQUIPMENT,Other,289001430991.08
AZN,AstraZeneca PLC,Industrials,,289342498064.96,,,Other,283019760689.12
SAP,SAP SE,Industrials,,279528307764.64,,,Other,282975536291.36
WFC,Wells Fargo & Co.,Financials,NATIONAL COMMERCIAL BANKS,268580073413.52,6021.0,NATIONAL COMMERCIAL BANKS,Banks,282705953852.52
MS,Morgan Stanley,Industrials,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",266908605689.34,6211.0,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",Other,281037565464.13
CAT,Caterpillar Inc.,Industrials,CONSTRUCTION MACHINERY & EQUIP,268493933613.08,3531.0,CONSTRUCTION MACHINERY & EQUIP,Other,279149829014.0
GS,Goldman Sachs Group Inc.,Industrials,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",244744664261.11,6211.0,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",Other,259945041198.59003
TM,Toyota Motor Corporation American Depositary Shares (Each representing ten Ordinary Shares),Industrials,,263847912542.76,,,Other,254424772809.09
NVS,Novartis AG,Industrials,,250287244002.36,,,Other,249769170130.22998
AXP,American Express Company,Financials,FINANCE SERVICES,250721336142.41,6199.0,FINANCE SERVICES,Other,249557176848.84
MRK,"Merck & Co., Inc.",Health Care,PHARMACEUTICAL PREPARATIONS,259694017941.68,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals,245546489486.48
HSBC,HSBC Holdings PLC,Industrials,,242314323426.46,,,Other,243824925612.74
CRM,"Salesforce, Inc.",Information Technology,SERVICES-PREPACKAGED SOFTWARE,217198800000.0,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software,243179609999.99997
APP,Applovin Corporation Class A Common Stock,Information Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",198166673350.0,7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",Software,233107840800.0
PM,Philip Morris International Inc.,Consumer Staples,CIGARETTES,243598397831.01,2111.0,CIGARETTES,Other,230833960089.21
RTX,RTX Corporation,Industrials,AIRCRAFT ENGINES & ENGINE PARTS,232208292634.98,3724.0,AIRCRAFT ENGINES & ENGINE PARTS,Other,229969203491.84003
RY,Royal Bank of Canada,Industrials,,216044864990.2,,,Other,228780636555.93
TMUS,"T-Mobile US, Inc.",Communication Services,RADIOTELEPHONE COMMUNICATIONS,231228874792.98,4812.0,RADIOTELEPHONE COMMUNICATIONS,Other,228667494619.44
MCD,McDonald's Corporation,Consumer Discretionary,RETAIL-EATING PLACES,222477018940.0,5812.0,RETAIL-EATING PLACES,Other,220618296086.5
AMAT,Applied Materials Inc,Information Technology,SEMICONDUCTORS & RELATED DEVICES,199136707477.19,3674.0,SEMICONDUCTORS & RELATED DEVICES,Semiconductors,213627633224.32
TMO,"Thermo Fisher Scientific, Inc.",Industrials,"MEASURING & CONTROLLING DEVICES, NEC",222888806001.75,3829.0,"MEASURING & CONTROLLING DEVICES, NEC",Other,213481076204.39
ABT,Abbott Laboratories,Health Care,PHARMACEUTICAL PREPARATIONS,223514600067.38,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals,212298876009.23
NVO,Novo-Nordisk A/S,Industrials,,216441878700.11,,,Other,207821528778.57
SHEL,Shell plc American Depositary Shares (Each represents two Ordinary shares),Industrials,,209988842149.95,,,Other,207694223848.1
SHOP,Shopify Inc. Class A subordinate voting shares,Information Technology,SERVICES-PREPACKAGED SOFTWARE,207435646889.3,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software,206224932996.94998
